resource_id,title,fields,granularity,months,years,start_year,end_year,year_span,duration_type,region,category
3856fa3d-434c-4681-8be5-2ed31995463f,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during September 1977,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['september'],[1977],1977,1977,1,specific_month,,rainfall
6cbede78-4ef8-443e-90b5-d557c397dc8e,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during August 1977,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['august'],[1977],1977,1977,1,specific_month,sub-basin,rainfall
4ce68f50-8bda-4819-ab24-3a00e8ecdf6a,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during October 1977,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['october'],[1977],1977,1977,1,specific_month,,rainfall
2a890a71-c5a3-4bd9-a0ce-c8fea5b780a5,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during September 1977,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['september'],[1977],1977,1977,1,specific_month,sub-basin,rainfall
ffa61358-0dcb-4765-8420-0d576221258b,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during November 1977,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['november'],[1977],1977,1977,1,specific_month,sub-basin,rainfall
8388cdb1-afff-43ab-af41-0c9ecc6ce130,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during November 1977,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['november'],[1977],1977,1977,1,specific_month,,rainfall
d375324a-3cf2-4e47-a150-8c4459ebc12d,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during October 1977,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['october'],[1977],1977,1977,1,specific_month,sub-basin,rainfall
549aa7c7-008d-4067-b45a-4b23a6f60501,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during December 1977,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['december'],[1977],1977,1977,1,specific_month,,rainfall
62d1c6f5-60f1-4afd-9a9e-593beba86bad,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during December 1977,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['december'],[1977],1977,1977,1,specific_month,sub-basin,rainfall
189ba9b5-996c-4415-9150-f3a94acfffe0,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during January 1978,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['january'],[1978],1978,1978,1,specific_month,,rainfall
30788299-4198-4c9f-aa9a-026187f0368a,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during January 1978,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['january'],[1978],1978,1978,1,specific_month,sub-basin,rainfall
cf2a0c98-310d-4546-ac28-2bce79aedccc,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during February 1978,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['february'],[1978],1978,1978,1,specific_month,sub-basin,rainfall
4417120d-5af9-47aa-8b54-e143622aefbf,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during February 1978,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['february'],[1978],1978,1978,1,specific_month,,rainfall
09557904-1e39-44ab-adf5-263aeae54c0f,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during March 1978,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['march'],[1978],1978,1978,1,specific_month,sub-basin,rainfall
